Year,Most Popular Male Name,Most Popular Female Name,Data Source
1926,Erik,Inge,Decade (1920s)
1927,Erik,Inge,Decade (1920s)
1928,Erik,Inge,Decade (1920s)
1929,Erik,Inge,Decade (1920s)
1930,Bent,Tove,Decade (1930s)
1931,Bent,Tove,Decade (1930s)
1932,Bent,Tove,Decade (1930s)
1933,Bent,Tove,Decade (1930s)
1934,Bent,Tove,Decade (1930s)
1935,Bent,Tove,Decade (1930s)
1936,Bent,Tove,Decade (1930s)
1937,Bent,Tove,Decade (1930s)
1938,Bent,Tove,Decade (1930s)
1939,Bent,Tove,Decade (1930s)
1940,Erik,Birthe,Decade (1940s)
1941,Erik,Birthe,Decade (1940s)
1942,Erik,Birthe,Decade (1940s)
1943,Erik,Birthe,Decade (1940s)
1944,Erik,Birthe,Decade (1940s)
1945,Erik,Birthe,Decade (1940s)
1946,Erik,Birthe,Decade (1940s)
1947,Erik,Birthe,Decade (1940s)
1948,Erik,Birthe,Decade (1940s)
1949,Erik,Birthe,Decade (1940s)
1950,Lars,Hanne,Decade (1950s)
1951,Lars,Hanne,Decade (1950s)
1952,Lars,Hanne,Decade (1950s)
1953,Lars,Hanne,Decade (1950s)
1954,Lars,Hanne,Decade (1950s)
1955,Lars,Hanne,Decade (1950s)
1956,Lars,Hanne,Decade (1950s)
1957,Lars,Hanne,Decade (1950s)
1958,Lars,Hanne,Decade (1950s)
1959,Lars,Hanne,Decade (1950s)
1960,Michael,Susanne,Decade (1960s)
1961,Michael,Susanne,Decade (1960s)
1962,Michael,Susanne,Decade (1960s)
1963,Michael,Susanne,Decade (1960s)
1964,Michael,Susanne,Decade (1960s)
1965,Michael,Susanne,Decade (1960s)
1966,Michael,Susanne,Decade (1960s)
1967,Michael,Susanne,Decade (1960s)
1968,Michael,Susanne,Decade (1960s)
1969,Michael,Susanne,Decade (1960s)
1970,Michael,Tina,Decade (1970s)
1971,Michael,Tina,Decade (1970s)
1972,Michael,Tina,Decade (1970s)
1973,Michael,Tina,Decade (1970s)
1974,Michael,Tina,Decade (1970s)
1975,Michael,Tina,Decade (1970s)
1976,Michael,Tina,Decade (1970s)
1977,Michael,Tina,Decade (1970s)
1978,Michael,Tina,Decade (1970s)
1979,Michael,Tina,Decade (1970s)
1980,Martin,Mette,Decade (1980s)
1981,Martin,Mette,Decade (1980s)
1982,Martin,Mette,Decade (1980s)
1983,Martin,Mette,Decade (1980s)
1984,Martin,Mette,Decade (1980s)
1985,Martin,Louise,Statistics Denmark (annual)
1986,Martin,Louise,Statistics Denmark (annual)
1987,Martin,Louise,Statistics Denmark (annual)
1988,Martin,Louise,Statistics Denmark (annual)
1989,Christian,Louise,Statistics Denmark (annual)
1990,Christian,Camilla,Statistics Denmark (annual)
1991,Christian,Camilla,Statistics Denmark (annual)
1992,Christian,Camilla,Statistics Denmark (annual)
1993,Christian,Camilla,Statistics Denmark (annual)
1994,Christian,Julie,Statistics Denmark (annual)
1995,Mathias,Julie,Statistics Denmark (annual)
1996,Mathias,Julie,Statistics Denmark (annual)
1997,Mathias,Julie,Statistics Denmark (annual)
1998,Mathias,Emma,Statistics Denmark (annual)
1999,Mathias,Emma,Statistics Denmark (annual)
2000,Mathias,Emma,Statistics Denmark (annual)
2001,Mathias,Emma,Statistics Denmark (annual)
2002,Mathias,Emma,Statistics Denmark (annual)
2003,Mathias,Emma,Statistics Denmark (annual)
2004,Mathias,Emma,Statistics Denmark (annual)
2005,Mathias,Emma,Statistics Denmark (annual)
2006,Mathias,Emma,Statistics Denmark (annual)
2007,Emil,Emma,Statistics Denmark (annual)
2008,Emil,Emma,Statistics Denmark (annual)
2009,Emil,Emma,Statistics Denmark (annual)
2010,Emil,Emma,Statistics Denmark (annual)
2011,William,Emma,Statistics Denmark (annual)
2012,William,Emma,Statistics Denmark (annual)
2013,William,Sofie,Statistics Denmark (annual)
2014,William,Sofia,Statistics Denmark (annual)
2015,William,Sofia,Statistics Denmark (annual)
2016,William,Sofia,Statistics Denmark (annual)
2017,William,Sofia,Statistics Denmark (annual)
2018,William,Alma,Statistics Denmark (annual)
2019,William,Alma,Statistics Denmark (annual)
2020,William,Alma,Statistics Denmark (annual)
2021,Oscar,Alma,Statistics Denmark (annual)
2022,William,Ella,Statistics Denmark (annual)
2023,Carl,Frida,Statistics Denmark (annual)
2024,Oscar,Emma,Statistics Denmark (annual)
2025,N/A,N/A,Not yet published (expected July 2026)
