Age,Male Median Income (DKK),Female Median Income (DKK)
0,0,0
1,0,0
2,0,0
3,0,0
4,0,0
5,0,0
6,0,0
7,0,0
8,0,0
9,0,0
10,0,0
11,0,0
12,0,0
13,0,0
14,0,0
15,9400,9400
16,18800,18800
17,28200,28300
18,62400,58000
19,96600,87800
20,130900,117500
21,165100,147300
22,199300,177000
23,227800,200200
24,256200,223500
25,284700,246700
26,313100,270000
27,341600,293200
28,364000,312700
29,386300,332200
30,408700,351600
31,431000,371100
32,453400,390600
33,461900,396100
34,470400,401600
35,478900,407200
36,487400,412700
37,495900,418200
38,500700,421800
39,505500,425400
40,510200,428900
41,515000,432500
42,519800,436100
43,523100,438200
44,526500,440300
45,529800,442500
46,533200,444600
47,536500,446700
48,536500,444900
49,536500,443100
50,536500,441200
51,536500,439400
52,536500,437600
53,530900,433700
54,525200,429800
55,519600,426000
56,513900,422100
57,508300,418200
58,501900,412100
59,495500,406000
60,489100,400000
61,482700,393900
62,476300,387800
63,450500,365500
64,424700,343200
65,398900,321000
66,373100,298700
67,347300,276400
68,333900,272400
69,320500,268400
70,307000,264400
71,293600,260400
72,280200,256400
73,276900,254600
74,273600,252800
75,270200,251000
76,266900,249200
77,263600,247400
78,262400,248000
79,261200,248700
80,260000,249300
81,258800,250000
82,257600,250600
83,256400,251200
84,255200,251900
85,254000,252500
86,254000,252500
87,254000,252500
88,254000,252500
89,254000,252500
90,254000,252500
91,254000,252500
92,254000,252500
93,254000,252500
94,254000,252500
95,254000,252500
96,254000,252500
97,254000,252500
98,254000,252500
99,254000,252500
100,254000,252500
